,from,to,round,duration,packets_per_ms,bytes_s,bytes_r,packets_s,packets_r,senders,receivers
253,64,65,5,8,6,67191600,66857000,47994,47755,1,1
254,64,65,6,8,7,78390200,77833000,55993,55595,1,1
255,64,65,7,8,8,89588800,89178600,63992,63699,1,1
256,66,67,0,8,1,11198600,11198600,7999,7999,1,1
257,66,67,1,8,2,22397200,22397200,15998,15998,1,1
258,66,67,2,8,3,33595800,33584600,23997,23989,1,1
259,66,67,3,8,4,44794400,44748200,31996,31963,1,1
260,66,67,4,8,5,55993000,55991600,39995,39994,1,1
261,66,67,5,8,6,67191600,67148200,47994,47963,1,1
262,66,67,6,8,7,78390200,78297800,55993,55927,1,1
263,66,67,7,8,8,89588800,19980800,63992,14272,1,1
264,68,69,0,8,1,11198600,11198600,7999,7999,1,1
265,68,69,1,8,2,22397200,22397200,15998,15998,1,1
266,68,69,2,8,3,33595800,33595800,23997,23997,1,1
267,68,69,3,8,4,44794400,44772000,31996,31980,1,1
268,68,69,4,8,5,55993000,55993000,39995,39995,1,1
269,68,69,5,8,6,67191600,67191600,47994,47994,1,1
270,68,69,6,8,7,78390200,78390200,55993,55993,1,1
271,68,69,7,8,8,89588800,89439000,63992,63885,1,1
272,70,71,0,8,1,11198600,11197200,7999,7998,1,1
273,70,71,1,8,2,22398600,22397200,15999,15998,1,1
274,70,71,2,8,3,33595800,33356400,23997,23826,1,1
275,70,71,3,8,4,44794400,44755200,31996,31968,1,1
276,70,71,4,8,5,55993000,55861400,39995,39901,1,1
277,70,71,5,8,6,67191600,66934000,47994,47810,1,1
278,70,71,6,8,7,78390200,74162200,55993,52973,1,1
279,70,71,7,8,8,89588800,87123400,63992,62231,1,1
280,72,73,0,8,1,11198600,11198600,7999,7999,1,1
281,72,73,1,8,2,22397200,22366400,15998,15976,1,1
282,72,73,2,8,3,33595800,33495000,23997,23925,1,1
283,72,73,3,8,4,44794400,44721600,31996,31944,1,1
284,72,73,4,8,5,55993000,55757800,39995,39827,1,1
285,72,73,5,8,6,67191600,67188800,47994,47992,1,1
286,72,73,6,8,7,78390200,78383200,55993,55988,1,1
287,72,73,7,8,8,89588800,89553800,63992,63967,1,1
288,74,75,0,8,1,11198600,11198600,7999,7999,1,1
289,74,75,1,8,2,22397200,22391600,15998,15994,1,1
290,74,75,2,8,3,33595800,33551000,23997,23965,1,1
291,74,75,3,8,4,44794400,44559200,31996,31828,1,1
292,74,75,4,8,5,55993000,55893600,39995,39924,1,1
293,74,75,5,8,6,67191600,67191600,47994,47994,1,1
294,74,75,6,8,7,78390200,78390200,55993,55993,1,1
295,74,75,7,8,8,89588800,89588800,63992,63992,1,1
296,76,77,0,8,1,11198600,11198600,7999,7999,1,1
297,76,77,1,8,2,22397200,22397200,15998,15998,1,1
298,76,77,2,8,3,33595800,33560800,23997,23972,1,1
299,76,77,3,8,4,44794400,44683800,31996,31917,1,1
300,76,77,4,8,5,55993000,55738200,39995,39813,1,1
301,76,77,5,8,6,67191600,66920000,47994,47800,1,1
302,76,77,6,8,7,78390200,78216600,55993,55869,1,1
303,76,77,7,8,8,89588800,89588800,63992,63992,1,1
304,78,79,0,8,1,11200000,11200000,8000,8000,1,1
305,78,79,1,8,2,22397200,22377600,15998,15984,1,1
306,78,79,2,8,3,33595800,33595800,23997,23997,1,1
307,78,79,3,8,4,44794400,44744000,31996,31960,1,1
308,78,79,4,8,5,55993000,55745200,39995,39818,1,1
309,78,79,5,8,6,67191600,66977400,47994,47841,1,1
310,78,79,6,8,7,78390200,77834400,55993,55596,1,1
311,78,79,7,8,8,89590200,89215000,63993,63725,1,1
312,8,9,0,8,1,11198600,11198600,7999,7999,1,1
313,8,9,1,8,2,22397200,22397200,15998,15998,1,1
314,8,9,2,8,3,33595800,33595800,23997,23997,1,1
315,8,9,3,8,4,44794400,44794400,31996,31996,1,1
316,8,9,4,8,5,55993000,55924400,39995,39946,1,1
317,8,9,5,8,6,67191600,39368000,47994,28120,1,1
318,8,9,6,8,7,78391600,78262800,55994,55902,1,1
319,8,9,7,8,8,89588800,89380200,63992,63843,1,1
320,80,81,0,8,1,11198600,11198600,7999,7999,1,1
321,80,81,1,8,2,22397200,22397200,15998,15998,1,1
322,80,81,2,8,3,33595800,33595800,23997,23997,1,1
323,80,81,3,8,4,44794400,44794400,31996,31996,1,1
324,80,81,4,8,5,55993000,55872600,39995,39909,1,1
325,80,81,5,8,6,67191600,67177600,47994,47984,1,1
326,80,81,6,8,7,78390200,78388800,55993,55992,1,1
327,80,81,7,8,8,89588800,89555200,63992,63968,1,1
328,82,83,0,8,1,11198600,11198600,7999,7999,1,1
329,82,83,1,8,2,22397200,22397200,15998,15998,1,1
330,82,83,2,8,3,33595800,33524400,23997,23946,1,1
331,82,83,3,8,4,44794400,44618000,31996,31870,1,1
332,82,83,4,8,5,55993000,55722800,39995,39802,1,1
333,82,83,5,8,6,67191600,67009600,47994,47864,1,1
334,82,83,6,8,7,78391600,77987000,55994,55705,1,1
335,82,83,7,8,8,89588800,88923800,63992,63517,1,1
336,84,85,0,8,1,11200000,11200000,8000,8000,1,1
337,84,85,1,8,2,22397200,22397200,15998,15998,1,1
338,84,85,2,8,3,33595800,33595800,23997,23997,1,1
339,84,85,3,8,4,44794400,44794400,31996,31996,1,1
340,84,85,4,8,5,55993000,51898000,39995,37070,1,1
341,84,85,5,8,6,67191600,66582600,47994,47559,1,1
342,84,85,6,8,7,78390200,74435200,55993,53168,1,1
343,84,85,7,8,8,89588800,89588800,63992,63992,1,1
344,86,87,0,8,1,11200000,11200000,8000,8000,1,1
345,86,87,1,8,2,22397200,22391600,15998,15994,1,1
346,86,87,2,8,3,33595800,33595800,23997,23997,1,1
347,86,87,3,8,4,44795800,44795800,31997,31997,1,1
348,86,87,4,8,5,55993000,55993000,39995,39995,1,1
349,86,87,5,8,6,67191600,66777200,47994,47698,1,1
350,86,87,6,8,7,78390200,78169000,55993,55835,1,1
351,86,87,7,8,8,89588800,89380200,63992,63843,1,1
352,88,89,0,8,1,11198600,11198600,7999,7999,1,1
353,88,89,1,8,2,22397200,22397200,15998,15998,1,1
354,88,89,2,8,3,33595800,33594400,23997,23996,1,1
355,88,89,3,8,4,44794400,44749600,31996,31964,1,1
356,88,89,4,8,5,55993000,55917400,39995,39941,1,1
357,88,89,5,8,6,67191600,66826200,47994,47733,1,1
358,88,89,6,8,7,78390200,78334200,55993,55953,1,1
359,88,89,7,8,8,89588800,89171600,63992,63694,1,1
360,90,91,0,8,1,11198600,11198600,7999,7999,1,1
361,90,91,1,8,2,22397200,22395800,15998,15997,1,1
362,90,91,2,8,3,33595800,33580400,23997,23986,1,1
363,90,91,3,8,4,44794400,44791600,31996,31994,1,1
364,90,91,4,8,5,55994400,55990200,39996,39993,1,1
365,90,91,5,8,6,67191600,66708600,47994,47649,1,1
366,90,91,6,8,7,78390200,78367800,55993,55977,1,1
367,90,91,7,8,8,89588800,89587400,63992,63991,1,1
368,92,93,0,8,1,11198600,11198600,7999,7999,1,1
369,92,93,1,8,2,22397200,22391600,15998,15994,1,1
370,92,93,2,8,3,33595800,33593000,23997,23995,1,1
371,92,93,3,8,4,44794400,44794400,31996,31996,1,1
372,92,93,4,8,5,55993000,55970600,39995,39979,1,1
373,92,93,5,8,6,67191600,67155200,47994,47968,1,1
374,92,93,6,8,7,78390200,78373400,55993,55981,1,1
375,92,93,7,8,8,89588800,89504800,63992,63932,1,1
376,94,95,0,8,1,11198600,11198600,7999,7999,1,1
377,94,95,1,8,2,22398600,22398600,15999,15999,1,1
378,94,95,2,8,3,33595800,33595800,23997,23997,1,1
379,94,95,3,8,4,44794400,44794400,31996,31996,1,1
380,94,95,4,8,5,55994400,55914600,39996,39939,1,1
381,94,95,5,8,6,67191600,67130000,47994,47950,1,1
382,94,95,6,8,7,78390200,78234800,55993,55882,1,1
383,94,95,7,8,8,89588800,89465600,63992,63904,1,1
384,96,97,0,8,1,11198600,11198600,7999,7999,1,1
385,96,97,1,8,2,22397200,22397200,15998,15998,1,1
386,96,97,2,8,3,33595800,33591600,23997,23994,1,1
387,96,97,3,8,4,44794400,44727200,31996,31948,1,1
388,96,97,4,8,5,55993000,55895000,39995,39925,1,1
389,96,97,5,8,6,67191600,67051600,47994,47894,1,1
390,96,97,6,8,7,78390200,78155000,55993,55825,1,1
391,96,97,7,8,8,89588800,23252600,63992,16609,1,1
392,98,99,0,8,1,11198600,11198600,7999,7999,1,1
393,98,99,1,8,2,22397200,22397200,15998,15998,1,1
394,98,99,2,8,3,33595800,33556600,23997,23969,1,1
395,98,99,3,8,4,44795800,44795800,31997,31997,1,1
396,98,99,4,8,5,55993000,55843200,39995,39888,1,1
397,98,99,5,8,6,67191600,66953600,47994,47824,1,1
398,98,99,6,8,7,78390200,78314600,55993,55939,1,1
399,98,99,7,8,8,89588800,89583200,63992,63988,1,1
